offer_id_local;page_no;offer_id;psu_power;psu_standard;psu_cert;offer_url;price;brand;rating;model;offer_title;bought
0;83;11679827542;700 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/chieftec-gpe-700s-700w-atx-12v-box-11679827542;301,18 zł aktualna cena;Chieftec;4,98/5100 ocen i 14 recenzji;GPE-700S;Zasilacz Chieftec GPE-700S 700 W;0 os
1;83;10514772985;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-aerocool-pgs-kcas-plus-750w-rgb-80-gold-10514772985;441,00 zł aktualna cena;Aerocool;;AEROPGSKCAS+RGB750-G;Zasilacz Aerocool KCAS PLUS GOLD 750W 750 W;0 os
3;83;11524259577;500 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-pc-chieftec-500w-gpe-500s-11524259577;221,52 zł aktualna cena;Chieftec;5,00/58 ocen i 1 recenzja;GPE-500S 500W ATX-12V BOX;Zasilacz Chieftec GPE-500S 500W ATX-12V BOX 500 W;0 os
4;83;11717165729;1000 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-platinum-1000w-11717165729;1 027,36 zł aktualna cena;be quiet!;4,94/517 ocen i 4 recenzje;BN309;Zasilacz be quiet! BN309 1000 W;0 os
5;83;10564961772;500 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-smart-bm1-500w-modular-80-bronze-10564961772;309,79 zł aktualna cena;Thermaltake;5,00/52 oceny i 1 recenzja;PS-SPD-0500MNSABE-1;Zasilacz Thermaltake Smart BM1 500W 500 W;0 os
6;83;11186800786;1200 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/thermaltake-zasilacz-pc-toughpower-pf1-argb-11186800786;1 572,21 zł aktualna cena;Thermaltake;5,00/52 oceny i 0 recenzji;Toughpower PF1 ARGB;Zasilacz Thermaltake Toughpower PF1 ARGB 1200 W;0 os
7;83;11739531741;650 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-aerocool-kcas-plus-gold-650w-650-w-11739531741;349,60 zł aktualna cena;Aerocool;;KCAS PLUS GOLD 650W;Zasilacz Aerocool KCAS PLUS GOLD 650W 650 W;0 os
8;83;11739489849;650 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-aerocool-kcas-plus-gold-650w-650-w-11739489849;349,60 zł aktualna cena;Aerocool;;KCAS PLUS GOLD 650W;Zasilacz Aerocool KCAS PLUS GOLD 650W 650 W;0 os
9;83;11718733678;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-tx750m-750w-80-gold-s-modular-atx-eu-11718733678;534,99 zł aktualna cena;Corsair;5,00/533 oceny i 2 recenzje;TXM Series 750W 80 Plus;Zasilacz Corsair TXM Series 750W 80 Plus 750 W;0 os
10;83;10808855146;850 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/chieftec-gpu-850fc-850w-powerplay-10808855146;770,86 zł aktualna cena;Chieftec;5,00/53 oceny i 0 recenzji;PowerPlay;Zasilacz Chieftec PowerPlay 850 W;0 os
11;83;11666505772;550 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/silentiumpc-supremo-l2-550w-80-gold-psu-11666505772;293,16 zł aktualna cena;SilentiumPC;4,98/5100 ocen i 12 recenzji;Supremo L2 Gold;Zasilacz SilentiumPC Supremo L2 Gold 550 W;0 os
12;83;10731068910;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/thermaltake-zasilacz-toughpower-grand-750w-10731068910;652,05 zł aktualna cena;Thermaltake;5,00/58 ocen i 1 recenzja;Toughpower Grand RGB 750W;Zasilacz Thermaltake Toughpower Grand RGB 750W 750 W;0 os
13;83;10721300955;550 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-smart-bx1-rgb-550w-80-bronze-230v-eu-10721300955;291,63 zł aktualna cena;Thermaltake;5,00/52 oceny i 1 recenzja;PS-SPR-0550NHSABE-1;Zasilacz Thermaltake PS-SPR-0550NHSABE-1 550 W;0 os
14;83;10724326141;650 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-cooler-master-v650-gold-v2-650w-80-gold-10724326141;599,00 zł aktualna cena;Cooler Master;;V650 Gold-V2 White Edition;Zasilacz Cooler Master V650 Gold-V2 White Edition 650 W;0 os
15;83;10731055010;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/thermaltake-zasilacz-gf1-750w-modular-80-gold-10731055010;656,25 zł aktualna cena;Thermaltake;;Toughpower GF1 TT Premium;Zasilacz Thermaltake Toughpower GF1 TT Premium 750 W;0 os
16;83;10758687677;550 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/aerocool-zasilacz-lux-rgb-550w-80-bronze-10758687677;242,20 zł aktualna cena;Aerocool;5,00/55 ocen i 0 recenzji;LUX 550W RGB;Zasilacz Aerocool LUX 550W RGB 550 W;0 os
18;83;10758690343;600 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-bbs-600s-600w-80plus-gold-120mm-atx-10758690343;358,40 zł aktualna cena;Chieftec;5,00/523 oceny i 3 recenzje;BBS-600S;Zasilacz Chieftec BBS-600S 600 W;0 os
19;83;11133003486;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-corsair-rm750-2021-bialy-750w-11133003486;618,99 zł aktualna cena;Corsair;;RPS0119;Zasilacz Corsair RPS0119 750 W;0 os
20;83;11138412412;450 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-toughpower-sfx-450w-modular-80-gold-11138412412;457,30 zł aktualna cena;Thermaltake;5,00/51 ocena i 0 recenzji;PS-STP-0450FNFAGE-1;Zasilacz Thermaltake PS-STP-0450FNFAGE-1 450 W;0 os
21;83;11138709191;450 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-toughpower-sfx-450w-modular-80-gold-11138709191;457,55 zł aktualna cena;Thermaltake;5,00/51 ocena i 0 recenzji;PS-STP-0450FNFAGE-1;Zasilacz Thermaltake PS-STP-0450FNFAGE-1 450 W;0 os
22;83;11321555674;1500 W;ATX;80 PLUS Titanium;https://allegro.pl/oferta/be-quiet-zasilacz-dark-power-pro-12-1500w-11321555674;2 068,47 zł aktualna cena;be quiet!;5,00/514 ocen i 1 recenzja;Dark Power Pro 12 1500W;Zasilacz be quiet! Dark Power Pro 12 1500W 1500 W;0 os
23;83;10633268655;850 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/zasilacz-pc-asus-850w-rog-strix-850g-10633268655;1 038,96 zł aktualna cena;ASUS;5,00/53 oceny i 0 recenzji;ROG-STRIX-850G;Zasilacz ASUS ROG-STRIX-850G 850 W;0 os
24;83;11666522724;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-rm750x-750w-80-gold-f-modular-atx-eu-11666522724;580,69 zł aktualna cena;Corsair;5,00/517 ocen i 2 recenzje;RM750x;Zasilacz Corsair RM750x 750 W;0 os
25;83;11666550347;630 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-smart-se-630w-modular-sprawnosc-11666550347;381,59 zł aktualna cena;Thermaltake;4,50/52 oceny i 1 recenzja;Smart SE 630W Modular;Zasilacz Thermaltake Smart SE 630W Modular 630 W;0 os
26;83;11139954320;550 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-p550b-550w-pfc-120mm-hydraulic-fan-atx-11139954320;212,16 zł aktualna cena;Gigabyte;5,00/58 ocen i 0 recenzji;P550B;Zasilacz Gigabyte P550B 550 W;0 os
27;83;10758672159;600 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-pure-power-11-600w-80-gold-n-modu-bn294-10758672159;428,50 zł aktualna cena;be quiet!;5,00/522 oceny i 5 recenzji;Pure Power 11 BN294;Zasilacz be quiet! Pure Power 11 BN294 600 W;0 os
28;83;11731240853;700 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-pc-be-quiet-700w-bn299-11731240853;521,40 zł aktualna cena;be quiet!;4,95/520 ocen i 1 recenzja;Pure Power 11 CM 700W BN299;Zasilacz be quiet! Pure Power 11 CM 700W BN299 700 W;0 os
29;83;10808857829;750 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/smart-pro-rgb-750w-modular-80-bronze-4xpeg-10808857829;519,27 zł aktualna cena;Thermaltake;5,00/54 oceny i 0 recenzji;Smart Pro RGB;Zasilacz Thermaltake Smart Pro RGB 750 W;0 os
30;83;10779252373;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-straight-power-11-850w-80-gold-f-modu-10779252373;799,99 zł aktualna cena;be quiet!;4,90/529 ocen i 1 recenzja;BN284;Zasilacz be quiet! Straight Power 11 850W 80+ Gold BN284 850 W;0 os
31;83;10717258189;400 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/lc-power-zasilacz-400w-lc500-12-v2-31-80-bronze-10717258189;194,81 zł aktualna cena;LC Power;;LC500-12 V2.31 80+;LC-POWER ZASILACZ 400W LC500-12 V2.31 80+ BRONZE;0 os
32;83;10745600381;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/gigabyte-gp-ap750gm-atx-80-plus-gold-certified-10745600381;542,16 zł aktualna cena;Gigabyte;5,00/51 ocena i 0 recenzji;GP-AP750GM;Zasilacz Gigabyte GP-AP750GM 750 W;0 os
33;83;11009426404;750 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/corsair-fully-modular-psu-hx750-professional-plati-11009426404;1 020,80 zł aktualna cena;Corsair;5,00/520 ocen i 2 recenzje;HX Series;Zasilacz Corsair HX Series 750 W;0 os
34;83;11041722622;600 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-be-quiet-system-power-9-cm-600w-120mm-80-11041722622;351,92 zł aktualna cena;be quiet!;4,90/510 ocen i 0 recenzji;System Power 9;Zasilacz be quiet! System Power 9 600 W;0 os
35;83;11041742747;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/corsair-zasilacz-rm750x-750w-80-gold-f-modular-atx-11041742747;593,60 zł aktualna cena;Corsair;5,00/517 ocen i 2 recenzje;RM750x;Zasilacz Corsair RM750x 750 W;0 os
36;83;11139955813;450 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-toughpower-sfx-450w-modular-80-gold-11139955813;442,57 zł aktualna cena;Thermaltake;5,00/51 ocena i 0 recenzji;PS-STP-0450FNFAGE-1;Zasilacz Thermaltake PS-STP-0450FNFAGE-1 450 W;0 os
37;83;11129225020;550 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/gigabyte-zasilacz-do-pc-p550b-550w-pfc-120mm-11129225020;239,00 zł aktualna cena;Gigabyte;5,00/58 ocen i 0 recenzji;P550B;Zasilacz Gigabyte P550B 550 W;0 os
38;83;11130847434;650 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/zasilacz-pc-corsair-650w-cp-9020217-eu-11130847434;427,08 zł aktualna cena;Corsair;4,69/513 ocen i 4 recenzje;CX650F;Zasilacz Corsair CX650F 650 W;0 os
39;83;11119154022;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-tx750m-750w-80-gold-s-modular-atx-eu-11119154022;530,17 zł aktualna cena;Corsair;5,00/533 oceny i 2 recenzje;TXM Series 750W 80 Plus;Zasilacz Corsair TXM Series 750W 80 Plus 750 W;0 os
40;83;11119130964;1000 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-lc-power-1000w-lc1000m-v2-31-80-gold-11119130964;873,86 zł aktualna cena;LC Power;;LC1000M V2.31;Zasilacz LC-POWER 1000W LC1000M V2.31 80+GOLD;0 os
41;83;11119140476;650 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-ion-sfx-l-650w-80plus-gold-modularny-11119140476;807,23 zł aktualna cena;Fractal Design;;Ion;Zasilacz Ion SFX-L 650W 80PLUS Gold Modularny;0 os
42;83;11208808634;530 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/smart-se-530w-modular-sprawnosc-80-bronze-11208808634;285,90 zł aktualna cena;Thermaltake;5,00/512 ocen i 0 recenzji;SPS-530M;Zasilacz Thermaltake SPS-530M 530 W;0 os
43;83;10911931946;600 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/be-quiet-zasilacz-system-power-9-600w-80-bronze-10911931946;297,05 zł aktualna cena;be quiet!;4,96/5113 ocen i 19 recenzji;System Power 9;Zasilacz be quiet! System Power 9 600 W;0 os
44;83;10862327369;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-be-quiet-straight-power-11-gold-bn283-10862327369;632,15 zł aktualna cena;be quiet!;5,00/554 oceny i 10 recenzji;Straight Power 11;Zasilacz be quiet! Straight Power 11 750 W;0 os
45;83;10896122823;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-straight-power-11-850w-80-gold-f-modu-10896122823;758,64 zł aktualna cena;be quiet!;4,90/529 ocen i 1 recenzja;Straight Power 11 850W 80+ Gold BN284;Zasilacz be quiet! Straight Power 11 850W 80+ Gold BN284 850 W;0 os
46;83;10846312311;500 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/chieftec-gpe-500s-500w-atx-12v-box-10846312311;234,99 zł aktualna cena;Chieftec;5,00/58 ocen i 1 recenzja;GPE-500S 500W ATX-12V BOX;Zasilacz Chieftec GPE-500S 500W ATX-12V BOX 500 W;0 os
47;83;10817369103;550 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-be-quiet-pure-power-11-550w-fm-120mm-10817369103;446,81 zł aktualna cena;be quiet!;5,00/52 oceny i 0 recenzji;PURE POWER 11 550W FM;Zasilacz be quiet! PURE POWER 11 550W FM 550 W;0 os
48;83;11493111157;850 W;ATX;80 PLUS Platinum;https://allegro.pl/oferta/chieftec-zasilacz-gpu-850fc-850w-powerplay-11493111157;702,40 zł aktualna cena;Chieftec;5,00/53 oceny i 0 recenzji;PowerPlay;Zasilacz Chieftec PowerPlay 850 W;0 os
49;83;11154176369;750 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-gpx-750fc-750w-powerup-80plus-gold-11154176369;469,95 zł aktualna cena;Chieftec;5,00/55 ocen i 0 recenzji;GPX-750FC;Zasilacz Chieftec GPX-750FC 750 W;0 os
50;83;11689490371;700 W;ATX;80 PLUS Bronze;https://allegro.pl/oferta/chieftec-gpe-700s-700w-atx-12v-box-11689490371;311,77 zł aktualna cena;Chieftec;4,98/5100 ocen i 14 recenzji;GPE-700S;Zasilacz Chieftec GPE-700S 700 W;0 os
51;83;11689492769;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/zasilacz-toughpower-grand-rgb-sync-850w-mod-11689492769;765,14 zł aktualna cena;Thermaltake;;PS-TPG-0850FPCGEU-S;Zasilacz Thermaltake Toughpower Grand RGB Sync 850 W;0 os
52;83;10797545260;850 W;ATX;80 PLUS Gold;https://allegro.pl/oferta/thermaltake-zasilacz-toughpower-gf1-850w-80-gold-10797545260;777,00 zł aktualna cena;Thermaltake;5,00/512 ocen i 1 recenzja;ToughPower GF1;Zasilacz Thermaltake ToughPower GF1 850 W;0 os
